cik,sic,conm
105982,6020,FIRST INTERSTATE BNCP
105990,5411,WESTERN BEEF INC
106015,1389,WESTERN CO OF NO AMER
106036,1040,WESTERN DEEP LEVELS LTD
106040,3572,WESTERN DIGITAL CORP
106092,3812,WESTERN GEAR CORP
106106,1311,AMTECH RESOURCES INC
106135,6798,WESTERN PROPERTIES TRUST
106168,4011,WESTERN MARYLAND RAILWAY CO
106176,3679,WESTERN MICROWAVE INC
106191,6798,WMI EQUITY INVESTORS
106212,1090,WESTERN NUCLEAR INC
106226,2451,WESTERN ORBIS CO
106230,3451,WESTERN PACIFIC INDUSTRIES
106241,1311,WESTERN PETROLEUM CORP
106374,6512,NEW VALLEY CORP
106413,4833,CBS CORP -OLD
106446,3140,WESTMINSTER CORP
106455,1220,WESTMORELAND COAL CO
106473,4955,WESTON (ROY F)  -SER A
106521,5141,WETTERAU INC
106532,5130,WEYCO GROUP INC
106535,2400,WEYERHAEUSER CO
106583,3559,WHEELABRATOR CORP
106618,3420,HANDY & HARMAN LTD
106640,3630,WHIRLPOOL CORP
106650,3690,MURPHY INDUSTRIES INC
106690,3630,WHITE CONSOLIDATED INDS INC
106695,5912,WHITE CROSS STORES INC
106752,5093,ENVIROSOURCE INC
106790,2750,BASIX CORP
106827,3721,WHITEHALL CORP
106880,3530,WHITING CORP
106889,5531,WHITLOCK CORP
106926,6020,WHITNEY HOLDING CORP
106945,3490,WHITTAKER CORP
106998,2273,COLLINS & AIKMAN GROUP INC
107022,5311,WIEBOLDT STORES INC
107140,2721,WILEY (JOHN) & SONS  -CL A
107189,2621,WILLAMETTE INDUSTRIES
107203,5063,REXEL INC
107227,2670,WILLIAMHOUSE REGENCY INC
107263,4922,WILLIAMS COS INC
107294,3440,WILLIAMS INDUSTRIES INC
107362,5084,WILLIAMS (W.W.) CO
107454,6513,WILSHIRE ENTERPRISES INC
107460,2011,WILSON FOODS CORP
107469,3231,WILSON BROTHERS USA INC
107472,2011,WILSON CERTIFIED FOODS INC
107482,4213,WILSON FREIGHT CO
107545,3949,WILSON SPORTING GOODS CO
107559,4822,E-SYNC NETWORKS INC
107665,5621,WINKELMAN STORES INC
107681,5411,WINN-DIXIE STORES INC
107687,3790,WINNEBAGO INDUSTRIES
107730,2200,WINSTON MILLS INC
107732,7311,WINSTON NETWORK INC
107748,5621,WINJAK INC  -CL A
107752,4813,WINTER PARK TELEPHONE CO
107835,6798,WISCONSIN REAL ESTATE INVT
107841,4924,WISCONSIN SOUTHERN GAS CO
107874,1311,WISER OIL CO
107889,2860,WITCO CORP
107961,3714,WIX CORP
108018,9995,WOLF (HOWARD B) INC
108079,5211,WOLOHAN LUMBER CO
108140,2540,VESPER CORP
108163,3555,WOOD INDUSTRIES INC
108215,3679,WOODHEAD INDUSTRIES INC
108276,1311,WOODS PETROLEUM CORP
108301,3949,WOODSTREAM CORP
108312,3720,WOODWARD INC
108371,7200,WORK WEAR CORP
108385,6141,WORLD ACCEPTANCE CORP/DE
108510,2890,WORTHINGTON BIOCHEMICAL CORP
108516,3390,WORTHINGTON INDUSTRIES
108565,6799,WRIGHT HARGREAVES MINES LTD
108601,2060,WRIGLEY (WM) JR CO
108606,1531,WRITER CORP
108629,4813,WUI INC
108633,6552,WULF INTERNATIONAL LTD.
108637,3949,WURLTECH INDUSTRIES INC
108679,3585,WYLAIN INC
108683,5065,WYLE ELECTRONICS
108703,3460,WYMAN-GORDON CO
108721,3050,WYNN'S INTERNATIONAL INC
108725,6020,FIRST WYOMING BANCORP
108755,2200,WYOMISSING CORP
108791,3490,XOMOX CORP
108865,3690,YARDNEY CORP
108880,3490,YATES INDUSTRIES INC
108949,3663,NUKO INFORMATION SYSTEMS INC
108976,4991,YORK RESEARCH CORP
108985,4941,YORK WATER CO
109086,3743,YOUNGSTOWN STEEL DOOR CO
109088,3460,YOUNGWOOD ELECTR METALS INC
109089,5311,YOUNKER BROTHERS INC
109110,1040,YUBA WESTGOLD INC
109156,5944,ZALE CORP
109177,3634,SPECTRUM BRND HLDG INC
109198,5651,TJX COS INC (THE)
109259,2834,ZENITH LABORATORIES
109261,6331,ZENITH NATIONAL INSURANCE CP
109265,3651,ZENITH ELECTRONICS CORP
109284,3460,ZERO CORP/DE
109312,6211,ZIEGLER COS INC
109336,3716,ZIMMER CORP
109380,6020,ZIONS BANCORPORATION NA
109410,1311,PREMIER RESOURCES LTD-CO
109413,2731,ZONDERVAN CORP
109446,3430,ZURN INDUSTRIES INC
109471,3812,AEROSONIC CORP
109478,3089,WOLVERINE TECHNOLOGIES INC
109520,7373,BALTIMORE TECHNOLOGIES PLC
109543,6211,AMERICAN FIRST CORP
109553,1600,BFC CONSTRUCTION CORP
109563,5080,APPLIED INDUSTRIAL TECH INC
109657,2834,GT BIOPHARMA INC
109706,6799,CITY INVESTING CO
109747,6311,SOUTHERN SECURITY LIFE INS
109757,1040,COMMERCE GROUP CORP
109758,8700,ARBITRON INC
109778,6726,INDEPENDENCE SQUARE INCOME
109821,3523,KUBOTA CORP
109831,3842,INAMED CORP
109834,6020,FIRST FLORIDA BANKS INC
109857,7510,GELCO CORP
109870,2820,GLASSMASTER CO
109885,6799,LYDENBURG PLATINUM
110019,4922,NORTHWEST PIPELINE CORP
110027,9995,LEAP TECHNOLOGY INC
110074,6411,SYSTEMED INC/DE
110306,1040,FREE STATE CONSOL GOLD MINES
110377,2820,THIOKOL CORP
110397,6020,WESTMOR CORP
110430,2911,FRONTIER OIL CORP
110471,3140,WOLVERINE WORLD WIDE
110536,8734,NATIONAL TECHNICAL SYS INC
110619,6311,UNIVERSAL GTY INVT CO
110621,2890,RPM INTERNATIONAL INC
110624,3711,MACK TRUCKS INC
110626,3630,MAGIC CHEF INC
110640,3674,INTECH INC
110740,3433,WANDERPORT CORP
110777,2430,TEXTONE INC
110985,7830,CRAIG CORP
111001,1311,DEKALB ENERGY CO  -CL B
200027,3613,ANDERSON ELECTRIC CORP
200138,6020,CHITTENDEN CORP
200245,6211,CITIGROUP GLOBAL MKTS HLDGS
200406,2834,JOHNSON & JOHNSON
200521,8051,MONTEREY LIFE SYSTEMS INC
200533,3290,MOYCO TECHNOLOGIES INC
200603,7370,PROGRAMMED TAX SYSTEMS INC
200754,6020,SUMMIT BANCORPORATION
201131,3812,ARGOSYSTEMS INC
201226,6799,CAMELOT INTERNATIONAL INC
201283,1311,TALISMAN ENERGY INC
201374,3490,CAPTECH INC
201401,6411,CELINA FINANCIAL CORP
201424,5812,CHEFS INTERNATIONAL INC
201461,6020,CITY NATIONAL CORP
201493,3050,COLTEC INDUSTRIES
201502,3571,COMMODORE INTL LTD
201511,7374,COMPUTER RESEARCH INC
201513,7372,COMSHARE INC
201533,4931,CONSUMERS ENERGY CO
201575,2086,COTT CORP
201597,3651,CURTIS MATHES CORP
201617,7374,DATA RESOURCES INC
201649,1531,DEVELOPMENT CORP OF AMERICA
201653,8090,DIALYSIS CORP OF AMERICA
201739,2821,ELECTROCHEMICAL IND (1952)
201932,2300,GATEWAY INDUSTRIES INC
201944,8742,GRC INTL INC
201998,6311,GOVERNMENT EMPLOYEES LIFE
202058,3812,L3HARRIS TECHNOLOGIES INC
202091,2050,HELME PRODUCTS INC
202196,4899,CEZAR INDUSTRIES LTD
202304,3990,KIDDE INC
202356,3585,KYSOR INDUSTRIAL CORP
202375,5094,LAZARE KAPLAN INTERNATIONAL
202388,3713,LEISURE TIME PRODUCTS INC
202467,3540,MAKITA CORP
202578,3452,MICRODOT INC
202588,3060,MIDWEST RUBBER RECLAIMING CO
202646,3312,CYCLOPS INDUSTRIES INC
202685,2721,MONARCH SERVICES INC
202763,5122,SYNCOR INTL CORP/DE
202882,5099,PICKWICK INTERNATIONAL INC
202947,6519,CAPITAL PROPERTIES INC
202995,2750,REPUBLIC CORP
203009,6311,RICHMOND CORP
203052,3714,ROYAL INDUSTRIES INC
203077,3845,ST JUDE MEDICAL INC
203093,3825,SANGAMO ELECTRIC CO
203140,3579,SCRIPTOMATIC INC
203200,3652,METATEC INC
203248,4924,SOUTHERN UNION CO
203285,3845,STAODYN INC
203383,3670,TDK CORP
203527,3845,VARIAN MEDICAL SYSTEMS INC
203530,2835,VENTREX LABORATORIES INC
203596,6020,WESBANCO INC
205015,3716,AMERICAN CLIPPER CORP
205024,3845,AMERICAN PACEMAKER CORP
205129,2820,CARBOLINE CO
205184,1311,COLUMBINE EXPLORATION CORP
205219,7370,BRC HOLDINGS INC
205239,5961,CATTLESALE CO
205303,3823,ENGINEERING MEASUREMENTS CO
205359,6020,FLORIDA NATL BANKS OF FLA
205493,2844,JHIRMACK ENTERPRISES INC
205520,2711,KNIGHT-RIDDER INC
205545,6726,SALOMON BROTHERS FUND INC
205610,1520,MCKEE CORP
205638,1311,MIDWEST EXPLORATION INC
205700,2761,NEW ENGLAND BUSINESS SVC INC
205778,3564,PHILIPS INDUSTRIES INC
205821,3320,REM METALS CORP
205863,7384,SCHOOL PICTURES INC
205921,1311,STANDARD ENERGY CORP
205949,1311,SURVEYOR INDUSTRIES INC
206030,3640,AXSYS TECHNOLOGIES INC
215005,5812,ACAPULCO RESTAURANTS
215038,2834,ALLERGAN PHARMACEUTICALS INC
215073,3841,AMERICAN HOSPITAL SUPPLY
215101,3826,AMICON CORP
215155,3576,ASTROCOM CORP
215219,7370,VOYAGER LEARNING CO
215244,1311,HYDROGEN ENERGY CORP
215279,7948,BRANDYWINE SPORTS INC
215310,3470,BMC INDUSTRIES INC
215375,4923,CAROLINA ENERGIES INC
215403,6321,CERES GROUP INC
215408,7389,CENTURY 21 REAL ESTATE CORP
215419,3669,CHECKPOINT SYSTEMS INC
215420,3443,CHEMI-TROL CHEMICAL CO
215425,4213,CHEMICAL LEAMAN CORP
215429,6799,INTL CAP & TECHNOLOGY CORP
215434,7822,CINEMA 5 LTD
215466,1040,COEUR MINING INC
215619,6020,DAUPHIN DEPOSIT CORP
215639,6799,DVL INC
215663,6141,DIAL CORP
215797,1311,FALCON OIL & GAS INC
215913,1040,FRANKLIN MINING INC
216039,6531,GRUBB & ELLIS CO
216040,3873,GRUEN INDUSTRIES INC
216051,6311,GULF UNITED CORP
216085,5712,HAVERTY FURNITURE
216184,2835,INCSTAR CORP
216205,3579,INFORMATION INTERNATIONAL
216219,3845,INTERMEDICS INC
216228,3561,ITT INC
216275,3531,JLG INDUSTRIES INC
216324,7819,IMAGE ENTERTAINMENT INC
216329,3443,KEYSTONE INDUSTRIES INC
216414,2761,LEWIS BUSINESS PRODUCTS INC
216430,3089,LIQUI-BOX CORP
216460,5311,MAMMOTH MART INC
216539,4833,MEDIA GENERAL INC
216540,7372,MEDICAL DYNAMICS INC
216607,1311,TITAN ENERGY CORP
216687,1700,NATIONAL OLYMPIC SOLAR CORP
216729,6020,TODAY'S BANCORP INC
216738,1311,NP ENERGY CORP
216748,1311,OAKRIDGE ENERGY INC
216810,1311,REGENT ENERGY CORP
216830,1400,PEBBLE BEACH CORP
216851,6726,ADAMS NATURAL RESOURCES FUND
216859,3825,PHILLIPS CONTROL CORP
216870,6020,MAINSTREET FINANCIAL CP-OLD
216875,4922,PIONEER CORP-TEXAS
216949,3663,RADIATION SYSTEMS INC
216983,3567,RESEARCH INC
216986,3944,REVELL INC
216991,1311,SAGE ENERGY CO
217028,2834,RHONE-POULENC RORER
217058,5010,S & M CO
217084,3634,APPLICA INC
217144,3949,SHAKESPEARE CO
217165,8071,MRI MEDICAL DIAGNOSTICS INC
217199,3433,SOLAR DEVELOPMENT INC
217220,1311,SOUTHLAND ENERGY CORP
217222,3559,SCANNER TECHNOLOGIES CORP
217338,3669,TESDATA SYSTEMS CORP
217346,3721,TEXTRON INC
217365,5961,TELLUS INDUSTRIES INC
217370,7819,TPC COMMUNICATIONS INC
217410,2840,UNILEVER PLC
217460,3690,VIKING INDUSTRIES INC
217586,7372,UCCEL CORP
217591,7359,XTRA CORP
225014,3440,ALL AMERICAN INDUSTRIES INC
225049,7373,APPLICON INC
225051,5411,ARDEN GROUP INC  -CL A
225067,3634,AZTECH INTERNATIONAL LTD
225184,3420,COLE CONSUMER PRODUCTS INC
225211,7372,TOUCHPOINT GROUP HOLDINGS
225255,5080,AMERICAN RESOURCES GROUP INC
225261,2511,DMI FURNITURE INC
225263,3690,NEWPORT CORP
225278,2452,DYNAMIC HOMES INC
225300,6311,EQUITABLE OF IOWA COS
225360,9995,FLAME INDUSTRIES INC
225446,1381,HLH PETROLEUM CORP
225457,7385,HORIZON TECHNOLOGY INC
225463,5090,HUFFY CORP
225491,4924,INTERMOUNTAIN GAS INDUSTRIES
225569,6162,AMRESCO INC
225595,3714,MAREMONT CORP
225628,7372,PASSUR AEROSPACE INC
225648,4950,COVANTA HOLDING CORP
225662,2531,LIBRARY BUREAU INC
225684,3572,NEW WORLD COMPUTER CO INC
225747,3531,PENGO INDUSTRIES INC
225852,3140,SHEPMYERS INVESTMENT CO
225868,3823,ACUITY CIMATRIX INC
225926,9995,BLUESTAR HEALTH INC
225939,4512,TIGER INTERNATIONAL
225998,4924,WASHINGTON ENERGY CO
226013,6798,WELLS FARGO MTG & EQUITY TR
230036,4812,ASSOCIATED COMMUN  -CL A
230046,6199,PHLCORP
230131,3661,COMDIAL CORP
230169,3571,DENELCOR INC
230336,4941,LAGUNA HILLS UTILITY CO
230379,3350,MEGA CORP
230392,5500,MORAGA CORP
230463,1311,POGO PRODUCING CO
230489,5712,RES INVESTMENT CORP
230501,1531,RCC INC
230557,6331,SELECTIVE INS GROUP INC
230578,3433,SUNTEC SYSTEMS INC
230602,2400,TRIANGLE PACIFIC CORP
230626,7011,UNITED WESTERN CORP
275053,2834,NATURES SUNSHINE PRODS INC
275109,6020,INTERFIRST CORP
275119,6020,BAYLAKE CORP
275125,1040,BELMORAL MINES LTD
275148,5010,BRENNER COMPANIES INC
275177,4813,CAROLINA TELEPHONE & TELEG
275184,4922,CELERON CORP
275316,2840,DIVERSEY CORP
275380,6020,FIRST COLONIAL BANKSHARES CP
275501,3320,HAYES-ALBION CORP
275522,8050,HILLHAVEN INC
275605,4841,COMCAST JOIN HOLDINGS
275694,6726,BARINGS CORPORATE INVESTORS
275710,6331,MCM CORP
275771,9995,MTH INC
275837,1311,TOTAL ENERGOLD CORP
275858,3663,OPTELECOM-NKF INC
275862,3634,OSROW PRODUCTS CORP
275866,2891,PACER TECHNOLOGY
275870,3845,PAIN CONTROL CENTERS INC
275880,7370,PARSONS CORP
275925,3571,RANDAL DATA SYSTEMS INC
275985,5812,SEA GALLEY STORES INC
276073,3444,THERMATRON INC
276077,6792,TIDELANDS ROYALTY TRUST B
276104,3724,UNC INC
276189,1531,FAIRFIELD COMMUNITIES INC
276206,5600,VALOR INVESTMENT FUND INC
276209,4941,CONNECTICUT WATER SVC INC
276235,6020,CENTRAL FIDELITY BANKS INC
276259,3690,ENCORE GROUP INC
276283,3679,EVANS & SUTHERLAND CMP CORP
276297,3572,INTERSCIENCE SYSTEMS INC
276298,1040,AMERICAN INDUSTRIES LTD
276310,7990,CAESARS NEW JERSEY INC
276327,4923,MIDCOAST ENERGY RES INC
276331,3350,STARMET CORP
276341,5065,WALKER TELECOMMUNICATIONS CP
276367,3829,KRATOS INC
276380,6331,SEIBELS BRUCE GROUP INC
276400,6331,BANCINSURANCE CORP
276437,3420,RULE INDUSTRIES INC
276448,2890,OIL BASE INC
276477,8051,HILLHAVEN CORP/NV
276558,3571,FLOATING POINT SYSTEMS INC
276641,5961,SPIEGEL INC  -CL A
276720,6552,PURE CYCLE CORP
276747,3678,ROBINSON NUGENT INC
276750,9995,AMBER RESOURCES CO OF COLO
276780,5211,COLOR TILE INC
276886,8082,LIFETIME CORP
276889,3312,QUANEX CORP
276894,5040,SAVIN CORP
276934,700,CHEMLAWN CORP
276979,3842,LIFE CHEMISTRY INC
277014,7359,PETROLEUM EQUIPMENT TOOLS CO
277024,2840,PUREX INDUSTRIES INC
277025,2721,ANDREWS GROUP INC
277028,6162,HOMEGOLD FINANCIAL INC
277057,5399,LURIA (L.) & SON INC
277058,7990,NEVADA GOLD & CASINOS INC
277135,5000,GRAINGER (W W) INC
277158,4924,SEMCO ENERGY INC
277161,3674,AVANTEK INC
277317,3577,RAMTEK CORP
277331,1000,O'OKIEP COPPER CO  -ADR
277356,7370,RIVERSIDE GROUP INC
277375,4923,DELTA NATURAL GAS CO INC
277376,3089,CALNETICS CORP
277377,6799,TEECO PROPERTIES  -LP
277437,3460,GRM INDUSTRIES INC
277509,3711,FEDERAL SIGNAL CORP
277577,6798,NATIONAL INCOME REALTY TR
277592,5990,AMERICAN VISION CENTERS INC
277595,4924,ENERGEN CORP
277795,6331,GEICO CORP
277809,9995,COMPARATOR SYSTEMS CP
277817,5050,RIO VERDE ENERGY CORP
277821,8200,NATIONAL EDUCATION CORP
277873,1311,OIL INTERNATIONAL LTD
277878,4210,WOODS INVESTMENT CO
277923,5812,PICCADILLY CAFETERIAS INC
277924,1311,CREDO PETROLEUM CORP
277928,3669,TII NETWORK TECHNOLOGIES INC
277948,4011,CSX CORP
277952,1311,OIL CITY PETROLEUM INC
278041,4400,INTL SHIPHOLDING CORP
278048,7373,AUTO-TROL TECHNOLOGY CORP
278051,1000,DAVID MINERALS LTD
278130,5700,PIER 1 IMPORTS INC/DE
278165,7370,OMNIQ CORP
278166,2452,CAVCO INDUSTRIES INC
278203,3572,VERBATIM CORP
278243,7011,LA QUINTA INNS INC
278311,4833,ATLANTIC TELECASTING CORP
278314,3451,ATHANOR GROUP INC
278327,4512,TRANS WORLD AIRLINES
278352,3577,SYMBOL TECHNOLOGIES
310028,6552,HALLCRAFT HOMES INC
310056,3669,VICON INDUSTRIES INC
310103,4924,CONNECTICUT ENERGY CORP
310104,3089,POLY CO OF AMERICA INC
310142,2860,SENSIENT TECHNOLOGIES CORP
310158,2834,MERCK & CO
310170,4911,IOWA RESOURCES INC
310183,4011,MISSOURI PACIFIC RR
310235,3567,RADIANT TECHNOLOGY CORP
310252,3821,GELMAN SCIENCES INC
310285,5090,COASTLAND CORP OF FLORIDA
310311,3950,MAGIC MARKER INDUSTRIES INC
310316,1311,CANARGO ENERGY CORP
310342,3559,FILMTEC CORP
310354,3670,STANDEX INTERNATIONAL CORP
310357,6020,SUMITOMO BANK OF CALIFORNIA
310377,7373,HBO & CO
310381,7373,SCI PRO INC
310413,5411,GROVE FOODS INC
310431,2810,CBI INDUSTRIES INC
310433,4813,COMMONWLTH TELE ENTER
310438,7373,SUMMA MEDICAL CORP
310449,6794,GAME A TRON CORP
310450,3845,NOVAMETRIX MEDICAL SYSTEMS
310454,4512,AIR MIDWEST INC
310486,1389,TELECO OILFIELD SERVICES INC
310522,6111,FEDERAL NATIONAL MORTGA ASSN
310537,8700,SOLAR METRICS INC
310539,1311,GREAT AMERICAN RESOURCES INC
310568,3674,MICROSEMI CORP
310569,2082,ANHEUSER-BUSCH COS INC
310584,5160,CORDYNE CORP
310585,7320,INTER-CONTINENTAL SVCS CORP
310587,6792,UNITED WESTERN ENERGY CORP
310621,6799,INDIANA FINANCIAL INVESTORS
310700,1311,PETX PETROLEUM CORP
310764,3841,STRYKER CORP
310767,1311,CENTURA ENERGY CORP
310793,5130,REDLAW INDUSTRIES INC
310801,1531,OXIDYNE GROUP INC
310876,8711,ANALYSIS & TECHNOLOGY INC
310918,1311,HANOVER PETROLEUM CORP
310979,6020,FIRST BANKS AMER INC
310987,1600,GREAT LAKES INTL INC
310989,6798,INTL INCOME PROPERTY INC
311037,1311,JAYTEX OIL & GAS CO
311046,5047,OPTICARE HEALTH SYSTEMS INC
311048,4812,PAGE AMERICA GROUP
311049,7990,ELSINORE CORP
311094,6020,WESTAMERICA BANCORPORATION
311099,6798,IRT PROPERTY CO
311100,6020,JEFFERSON BANKSHARES
311172,7389,CARNEGIE INTL CORP
311179,2834,THERATECH INC UTAH
311196,4922,NORTHWEST ENERGY
311259,4924,EASTERN ENTERPRISES
311268,7331,WORD TRONICS CORP
311337,2911,SUNCOR ENERGY INC
311342,1311,AMBRA OIL & GAS CO
311359,7990,BALLY'S PARK PLACE INC
311369,1381,NICKLOS OIL & GAS CO
311407,3841,MICRO THERAPEUTICS INC
311457,6795,NUPEC RESOURCES INC
311471,1311,APCO OIL AND GAS INTL INC
311505,3577,PRINTRONIX INC
311657,6399,PREPAID LEGAL SERVICES INC
311817,6798,HMG COURTLAND PROPERTIES
311848,2890,XRG INTERNATIONAL INC
311853,3577,SANTEC CORP
311871,2611,POPE & TALBOT INC
311882,3674,APPLIED SOLAR ENERGY CORP
311926,1381,PRAIRIE STATES EXPLORATION
311975,3724,WALBAR INC
311995,1311,MITCHELL ENERGY & DEV CORP
312024,5961,FIRST COINVESTORS INC
312030,3679,REDM INDUSTRIES INC
312033,3433,SOLAR TECHNOLOGY CORP
312035,1311,UNITED PETROSEARCH INC
312037,1311,VENUS EXPLORATION INC
312050,1311,RAN ENERGY INC
312065,7900,FLORIDA GAMING CORP
312066,3822,RELIABLE POWER SYSTEMS INC
312069,6020,BARCLAYS PLC
312160,2452,ROYAL BUSINESS GROUP INC
312237,3743,RICHMOND TANK CAR CO
312242,3827,LASER PRECISION CORP
312258,4412,SINO SHIPPING HOLDINGS INC
312263,4922,HOWELL PETROLEUM CORP
312297,3661,CUSHMAN ELECTRONICS INC
312304,1311,LEWIS ENERGY CORP
312340,1311,SABA PETROLEUM CO
312367,6020,FIRST SECURITY CORP/DE
312478,3532,TROUND INTERNATIONAL INC
312540,9995,SUNLITE INC
312581,7311,ON LINE MEDIA INC
312583,6795,ROCKY MOUNTAIN MINERALS INC
312651,5122,DOCPLANET.COM INC
312653,1040,ORMINEX LTD
312827,3089,TEXON ENERGY CORP
312833,3845,BIOCHEM INTERNATIONAL INC
312840,3944,EMPIRE OF CAROLINA INC
312842,1311,KESTREL ENERGY INC
312902,2834,THOMPSON MEDICAL CO INC
312907,5047,VALLEN CORP
312950,3567,CONSUMAT ENVIRONMENTAL
312979,4813,TELETEK INC
313041,7370,EPICEDGE INC
313058,3241,SOUTHDOWN INC
313096,3670,EA INDUSTRIES INC
313116,6799,ENERCORP INC
313141,4700,PASSPORT TRAVEL INC
313143,3841,HAEMONETICS CORP
313148,3826,KEVEX CORP
313153,4213,LEASEWAY TRANSPORTATION CORP
313214,1540,BANK BUILDING &EQUIP CORP AM
313216,3845,KONINKLIJKE PHILIPS NV
313261,3572,CANADIAN PIPER AIR CORP
313277,8711,THERMAL ENERGY STORAGE INC
313294,6510,BAY FINANCIAL CORP
313300,1311,NOVA PETROLEUM CORP
313303,7812,LORIMAR TELEPICTURES
313309,3661,TIE/COMMUNICATIONS INC
313321,8082,HOME INTENSIVE CARE INC-FL
313336,1311,MCO RESOURCES INC
313353,6792,CHEYENNE RESOURCES INC
313364,6792,MESA ROYALTY TRUST
313368,3460,ABS INDUSTRIES INC
313372,3089,HIGHLINE INDUSTRIES INC
313395,1311,TXCO RESOURCES INC
313413,4522,FLIGHT TRANSPORTATION CORP
313419,1311,ENERCAP CORP
313469,3577,KCR TECHNOLOGY INC
313478,1311,HKN INC
313518,3220,NBI INC
313549,1311,FRANCANA OIL & GAS LTD
313616,3826,DANAHER CORP
313632,5812,CONSUL RESTAURANT CORP
313635,3567,PYRO MAGNETICS CORP
313646,1311,UNITED AMERICAN ENERGY INC
313690,1381,MOXA ENERGY CORP
313716,3541,HARDINGE INC
313717,3679,FCP INC
313727,6211,DELTEC INTL LTD  -ADS
313741,6798,PUB STRG PPTYS VI  -SER A
313749,7011,LA QUINTA CORP
313757,4922,ESKEY INC
313798,3844,ADAC LABORATORIES
313807,2911,BP PLC
313809,6512,ALASKA NORTHWEST PROPERTIES
313838,3600,SONY GROUP CORPORATION
313857,6020,BANK NEW HAMPSHIRE CORP
313867,7373,TRIAD SYSTEMS CORP
313927,2840,CHURCH & DWIGHT INC
313968,1311,RCS HOLDINGS INC
313997,4953,AGRIPOST INC
314037,6211,KINNARD INVESTMENTS INC
314087,1311,FRONTIER ENERGY CORP
314090,3470,OLYMCO INC
314132,3716,FLEETWOOD ENTERPRISES INC
314202,3433,ASK CORPORATION
314203,1040,MCEWEN MINING INC
314227,3559,TOMI ENVIRONMENTAL SOLUTINS
314266,1531,CARLSBERG CORP
314306,7812,AMERICAN TELNET CORP
314307,3564,NOXSO CORP
314340,6411,SECURITY CAPITAL/DE  -CL A
314416,3841,DAIG CORP
314426,1311,EMCOR PETROLEUM INC
314436,7372,TIMBERLINE SOFTWARE CORP
314437,5271,SUNERGY COMMUNITIES INC
314464,1731,FISCHBACH CORP
314474,6036,AMERICAN CONTINENTAL CORP
314484,1311,DAKOTA MINERALS INC
314489,6020,FIRST BUSEY CORP
314525,2761,SAFEGUARD BUSINESS SYSTEMS
314590,2890,SASOL LTD
314606,1382,GEOKINETICS INC
314608,2911,PACIFIC RESOURCES INC
314625,6510,WASHINGTON CORP  -CL A
314662,5412,NATIONAL CONVENIENCE STORES
314668,2860,COLORADO GASAHOL INC
314712,3990,BOOMERANG SYSTEMS INC
314727,9995,HANDLEMAN CO
314759,8700,TOLTEC ROYALTY CORP
314808,1381,VALARIS LTD
314834,1311,GOLD KING CONSOLIDATED INC
314859,1311,INTERMOUNTAIN ENERGY INC
314864,1311,ENEX RESOURCES CORP
314865,2670,SPINNAKER INDS INC  -CL A
314890,4924,WICOR INC
314937,3674,SILTEC CORP
314940,2870,BURST AGRITECH INC
315079,6799,HEIZER CORP
315125,5940,HOUSE OF FABRICS INC
315126,6799,ELRON ELECTRONIC INDS LTD
315127,5411,ALTERMAN INVESTMENT FUND
315131,1311,PHX MINERALS INC
315136,4400,AMERICAN CLASSIC VOYAGES CO
315172,3571,CADO SYSTEMS CORP
315176,6035,CSF HOLDINGS INC
315180,3571,TANDEM COMPUTERS INC
315189,3523,DEERE & CO
315213,7363,ROBERT HALF INTL INC
315256,4911,PUBLIC SERVICE CO/N H
315261,1311,TEXAS VANGUARD OIL CO
315272,1311,HARCOR ENERGY CO
315293,6411,
315309,7372,DIMIS INC
315353,3990,SUMMIT SYSTEMS INC
315374,3541,HURCO COS INC
315375,1090,UNIVERSAL FUELS CO
315406,1311,ENERGY ASSETS INTL CORP
315411,6331,AMER COUNTRY HOLDINGS INC
315428,7822,AMERICAN VANTAGE COMPANIES
315429,1311,CRESCENT PETROLEUM CORP
315449,3621,UQM TECHNOLOGIES INC
315523,1040,USMX INC
315542,7812,LAUREL ENTERTAINMENT INC
315545,2834,PROVECTUS BIOPHARMACEUTICALS
315547,6020,FIRST COML BANCORP INC
315574,7389,INTL CAPITAL EQUIPMENT LTD
315575,1311,KNIGHT ROYALTY CORP
315621,3714,WEDGESTONE FINANCIAL
315641,3440,FRANKFORT TOWER INDS INC
315645,6792,APACHE ENERGY&MINERALS
315647,6794,GST LABORATORIES INC
315671,1311,PLANO PETROLEUM CORP
315698,1389,ADVANCED MONITORING SYS INC
315709,6020,INTL BANCSHARES CORP
315777,5122,TECHNODYNE INC
315781,1220,NEW CASTLE ENERGY CORP
315797,1311,LANDMARK OIL & GAS LTD
315807,8731,MATRIX MEMBRANES INC
315816,5065,SUNY CELLULAR COMMUNICATION
315817,7311,JWT GROUP INC
315846,1381,EMPIRE OIL & GAS CO
315849,6020,SOUTHWEST GEORGIA FINL CORP
315852,1311,RANGE RESOURCES CORP
315858,7011,BLUEGREEN VACATIONS HLDG CRP
315958,7323,CREDITRISKMONITOR.COM INC
315981,3531,TESCO AMERICAN INC
315999,7373,NATIONAL TRANSACTION NETWORK
316004,3661,DSC COMMUNICATIONS CORP
316022,1311,PARKFORD PETROLEUM INC
316028,6211,KENT FINANCIAL SERVICES INC
316116,9995,FNI INC
316117,3652,MICROSONICS CORP
316206,7011,STARWOOD HOTELS&RESORTS WRLD
316218,3585,INTL COMFORT PRODUCTS CORP
